Grade,Gender,WPM,CPM,Acc. (%),rWPM,Correct,Incorrect,Extra,Missed,Cons.,,WPM,CPM,Acc. (%),rWPM,Correct,Incorrect,Extra,Missed,Cons.,,Average WPM,Hand Length R,Hand Span R,Thumb Length R,Hand Length L,Hand Span L,Thumb Length L,Other Notes,,Avg WPM,Avg CPM,Avg Acc,Avg rWPM,Avg Correct,Avg Incorrect,Avg Extra,Avg Missed,Avg Cons,,Avg Hand Length,Average Hand Span,Average Thumb Length
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
